977746;问;887.99
977747;问;998.99
977748;问;221.99
977749;问;332.99
977750;问;5554.99
977751;问;5680.99
977752;问;808079.99
977753;问;1010100.99
977754;问;1000000.99
977755;问;7022.99
977756;问;7247.99
977757;问;7465.99
977758;问;8112.99
977759;问;8354.99
977760;问;2488.99
977356;问;3938.99
977357;问;4058.99
977358;问;4390.99
977359;问;4521.99
977360;问;5754.99
000013;硒栳赅;
000014;硒栳赅;
000015;硒栳赅;
000017;硒栳赅;
000018;硒栳赅;
000019;硒栳赅;
000020;硒栳赅;
000026;硒栳赅;
978352;问;5724
978353;问;5724
978354;问;5832
978355;问;5832
968044;问;2984.99
968045;问;3393.99
968046;问;3460.99
968047;问;3628.99
968048;问;3702.99
968049;问;3862.99
968050;问;3942.99
968051;问;4332.99
968052;问;4421.99
968053;问;1376.99
978334;问;17313.99
978335;问;17313.99
978336;问;17552.99
978337;问;17552.99
978338;问;18940.99
978339;问;18940.99
001032;硒栳赅;
001033;硒栳赅;
001034;硒栳赅;
001035;硒栳赅;
001036;硒栳赅;
001039;硒栳赅;
001040;硒栳赅;
983048;问;7006.99
983049;问;8982.99
983050;问;9342.99
983051;问;10631.99
